wave, intensity
1522.698, 79.02416
1524.626, 82.33047
1526.555, 86.59731
1528.483, 91.36712
1530.411, 96.34997
1532.340, 103.3247
1534.268, 112.2793
1536.197, 123.7667
1538.125, 138.1309
1540.054, 155.3060
1541.982, 175.6939
1543.911, 199.4313
1545.839, 222.9383
1547.768, 247.4990
1549.696, 268.5934
1551.625, 282.4372
1553.553, 292.7295
1555.482, 302.6340
1557.410, 312.0990
1559.339, 322.7545
1561.267, 331.8812
1563.195, 348.2147
1565.124, 376.4527
1567.052, 411.5438
1568.981, 450.9347
1570.909, 494.4272
1572.838, 540.6608
1574.766, 591.3586
1576.695, 637.9645
1578.623, 685.1480
1580.552, 720.1736
1582.480, 741.5478
1584.409, 745.9766
1586.337, 726.0214
1588.266, 678.2753
1590.194, 620.9976
1592.122, 545.1066
1594.051, 472.4964
1595.979, 406.0649
1597.908, 345.9275
1599.836, 291.3720
1601.765, 246.4413
1603.693, 203.4188
1605.622, 176.5436
1607.550, 154.3080
1609.479, 137.4349
1611.407, 124.1130
1613.336, 114.4400
1615.264, 107.5262
1617.193, 101.6015
1619.121, 96.87304
1621.049, 92.49654
1622.978, 88.50411
1624.906, 84.72538
1626.835, 80.81210
1628.763, 77.26881
1630.692, 74.61613
1632.620, 72.82425
1634.549, 71.56374
1636.477, 71.27493
1638.406, 70.40317
1640.334, 67.95725
1642.263, 65.91539
1644.191, 65.70701
1646.120, 66.17778
1648.048, 65.47329
1649.976, 63.46970
1651.905, 61.69643
1653.833, 59.60215
1655.762, 58.72422
1657.690, 60.47831
1659.619, 62.48088
1661.547, 63.22909
1663.476, 62.96282
1665.404, 62.21079
1667.333, 60.90854
1669.261, 59.64125
1671.190, 57.71686
1673.118, 56.91562
1675.047, 58.85475
1676.975, 61.32755
1678.903, 62.15686
1680.832, 61.61995
1682.760, 61.31533
1684.689, 61.36623
1686.617, 61.14959
1688.546, 60.15752
1690.474, 59.37654
1692.403, 59.39113
1694.331, 59.71737
1696.260, 59.79493
1698.188, 59.64591
1700.117, 59.48564
1702.045, 59.49241
1703.974, 58.99490
1705.902, 57.17989
1707.830, 55.61114
1709.759, 55.13195
1711.687, 55.31476
1713.616, 55.49090
1715.544, 56.01597
1717.473, 56.39854
1719.401, 57.92651
1721.330, 59.38594
1723.258, 61.12026
1725.187, 62.15398
1727.115, 61.41366
1729.044, 59.86042
1730.972, 59.19231
1732.901, 59.39746
1734.829, 59.22507
1736.757, 58.02643
1738.686, 57.79112
1740.614, 60.02241
1742.543, 62.16436
1744.471, 62.71768
1746.400, 62.22919
1748.328, 61.34808
1750.257, 60.04296
1752.185, 59.82172
1754.114, 61.61444
1756.042, 62.62909
1757.971, 61.61683
1759.899, 60.50275
1761.828, 60.29876
1763.756, 60.69387
1765.684, 61.46239
1767.613, 62.63717
1769.541, 62.66594
1771.470, 60.80447
1773.398, 59.27520
1775.327, 58.11452
1777.255, 57.64487
1779.184, 58.50155
1781.112, 59.85010
1783.041, 60.47757
1784.969, 60.41672
1786.898, 60.70573
1788.826, 62.37122
1790.755, 62.43617
1792.683, 59.14249
1794.611, 56.34076
1796.540, 55.44291
1798.468, 55.79282
1800.397, 57.19101
1802.325, 59.35823
1804.254, 60.57573
1806.182, 60.70703
1808.111, 60.14664
1810.039, 57.78086
1811.968, 56.27777
1813.896, 56.95285
1815.825, 58.09310
1817.753, 58.28384
1819.682, 57.91673
1821.610, 58.20535
1823.538, 59.50183
1825.467, 59.68029
1827.395, 57.66362
1829.324, 56.46166
1831.252, 57.27504
1833.181, 58.20936
1835.109, 58.27671
1837.038, 57.90264
1838.966, 57.52027
1840.895, 57.16927
1842.823, 57.67074
1844.752, 59.44421
1846.680, 60.44081
1848.609, 59.77030
1850.537, 59.22993
1852.465, 59.92641
1854.394, 60.66030
1856.322, 60.04530
1858.251, 58.83881
1860.179, 59.54737
1862.108, 62.21529
1864.036, 62.43507
1865.965, 58.67006
1867.893, 55.85549
1869.822, 55.82959
1871.750, 56.47492
1873.679, 57.02539
1875.607, 57.29496
1877.536, 56.62632
1879.464, 55.42589
1881.392, 55.55651
1883.321, 57.24595
1885.249, 59.05363
1887.178, 61.17937
1889.106, 62.69424
1891.035, 63.43325
1892.963, 63.34566
1894.892, 61.91722
1896.820, 59.88483
1898.749, 58.23874
1900.677, 57.00014
1902.606, 57.10504
1904.534, 59.66342
1906.463, 61.16036
1908.391, 60.80622
1910.319, 60.29477
1912.248, 59.83396
1914.176, 59.67767
1916.105, 60.27073
1918.033, 61.21220
1919.962, 61.67698
1921.890, 61.64465
1923.819, 61.26915
1925.747, 60.12072
1927.676, 59.78884
1929.604, 60.94046
1931.533, 62.22091
1933.461, 63.81087
1935.390, 64.76665
1937.318, 63.92234
1939.246, 62.16858
1941.175, 61.37577
1943.103, 61.43897
1945.032, 61.17485
1946.960, 60.35853
1948.889, 60.10420
1950.817, 61.05400
1952.746, 61.72724
1954.674, 61.04307
